School_Name,Address,City_Town,Postal_Code,School_Board,School_ID,Breakfast,Lunch,Snack
Clairlea P.S.,25 Rosalind Cres,Toronto,M1L2X1,Toronto DSB,107972,Yes, , 
Cliffwood Public School ,140 Cliffwood Rd,Toronto,M2H2E4,Toronto DSB,111775,Yes, , 
Collège français secondaire,100 Carlton rue,Toronto,M5B1M3,CS Viamonde,918997,Yes, , 
Contact School,132 Saint Patrick St,Toronto,M5T1V1,Toronto DSB,902640,Yes,Yes,Yes
Cosburn Middle School,520 Cosburn,Toronto,M4J2P1,Toronot DSB,125130,Yes, , 
da Vinci School,33 Robert Street,Toronto,M5S2K2,Toronto DSB,599135,Yes, , 
Danforth C.I.,800 Greenwood Ave,Toronto,M4J4B7,Toronto DSB,903469,Yes,Yes, 
Dante Alighieri S.S.,60 Playfair Ave,Toronto,M6B2P9,Toronto CDSB,702935,Yes, , 
D'Arcy McGee C.S.,20 Bansley Ave,Toronto,M6E2A2,Toronto CDSB,703001,Yes, , 
Davisville PS,43 Millwood Rd,Toronto,M4S1J6,Toronto DSB,135011,Yes, , 
Delphi Secondary Alternative School,109A A Chartland Blvd S,Toronto,M1S2R7,Toronto DSB,892483,Yes, , 
Dewson St Jr PS,65 Concord Ave,Toronto,M6H2N9,Toronto DSB,139955,Yes, , 
Don Bosco C.S.S.,2 St Andrew's Blvd,Toronto,M9R1V8,Toronto CDSB,703184,Yes, , 
Dovercourt PS,228 Bartlett Ave,Toronto,M6H3G4,Toronto DSB,145548,Yes, , 
Downtown Care-Ring,..,Toronto,M4W3L4,..,…,, ,Yes
Dr. Norman Bethune C.I.,200 Fundy Bay Blvd,Toronto,M1W3G1,Toronto DSB,937592,Yes, , 
Dublin Heights Elementary and Middle School,100 Bainbridge Ave,Toronto,M3H2K2,Toronto DSB,612634,Yes, , 
Duke of Connaught PS,70 Woodfield Rd,Toronto,M4L2W6,Toronto DSB,151653,Yes,Yes, 
Dundas Jr PS,935 Dundas St E,Toronto,M4M1R4,Toronto DSB,153214,Yes,Yes, 
Earl Grey Sr. PS,100 Strathcona Ave,Toronto,M4J1G8,Toronto DSB,157899,Yes, , 
Earl Haig Jr PS,15 Earl Haig Ave,Toronto,M4C1E2,Toronto DSB,158020,Yes,Yes, 
Eastdale C.I.,701 Gerrard St E,Toronto,M4M1Y4,Toronto DSB,907103,Yes,Yes, 
Eastview JPS,20 Waldock St,Toronto,M1E2E5,Toronto DSB,164399,Yes, , 
Eastview Neighbourhood Community Centre,..,Toronto,M4J3C9,..,…,, ,Yes
Ecole du Sacre Coeur,25 Linden rue,Toronto,M4Y1V5,CSDC Centre-Sud,755532,Yes, , 
École élémentaire catholique Saint-Michel,29 MEADOWVALE Rd,Toronto,M1C1R7,CSDC Centre-Sud,841308,Yes, , 
École élémentaire Étienne-Brûlé,300 Banbury Rd,Toronto,M2L2V3,CS Viamonde,186910,Yes, , 
École élémentaire Laure-Rièse,339 Alton Towers Circle,Toronto,M1V4L3,CS Viamonde,309192,Yes, , 
École élémentaire Pierre-Elliott-Trudeau,65 Grace rue,Toronto,M6J2S4,CS Viamonde,165476,Yes, , 
Ecole elementaire Toronto Ouest ,330 Lansdowne avenue,Toronto,M6H3Y1,CS Viamonde,588462,Yes, , 
Ecole Gabrielle Roy,14 Pembroke rue,Toronto,M5A2N7,CS Viamonde,497134,Yes, , 
Ecole Secondaire Catholique Mgr-de-Charbanel,110 Drewry avenue,Toronto,M2M1C8,CSDC Centre-Sud,733458,Yes, , 
Ecole Secondaire Catholique St.-Frere-Andre,330  Landsdowne,Toronto,M6H3Y1,Toronto CDSB,691950,Yes, , 
Ecole secondaire Etienne Brule,300 Banbury chemin,Toronto,M2L2V3,CS Viamonde,907588,Yes, , 
Ecole St-Noel Chabanel (Toronto) Collations,1300 Wilson avenue,Toronto,M3M1H5,CSDC Centre-Sud,845744,Yes, , 
Edgewood P.S.,230 Birkdale Rd,Toronto,M1P3S4,Toronto DSB,165824,Yes, , 
EEC Saint-Jean-de-Lalande,500 Sandhurst cercle,Toronto,M1S3Y7,CSDC Centre-Sud,798223,Yes, , 
Eitz Chaim Viewmount Campus,..,Toronto,M6B1T2,..,…,,Yes,Yes
Ellesmere-Statton PS,739 Ellesmere Rd,Toronto,M1P2W1,Toronto DSB,173495,Yes, , 
Epiphany of Our Lord,3150 Pharmacy Ave,Toronto,M1W3J5,Toronto CDSB,785539,Yes, , 
Equinox Holistic Alternative School,151 Hiawatha Road,Toronto,M4L2Y1,Toronto DSB,126195,Yes, , 
Essex PS,50 Essex St,Toronto,M6G1T3,Toronto DSB,186759,Yes, , 
Étienne Brûlé Jr. School,50 Cloverhill,Toronto,M8Y1T3,Toronto DSB,186880,Yes, , 
Etobicoke Year-Round Alternative Centre,160 Silverhill Drive,Toronto,M9B3W7,Toronto DSB,924246,Yes,Yes, 
Father Henry Carr C. S.S.,1760 Martin Grove Road,Toronto,M9V3S4,Toronto CDSB,707589,Yes, , 
Father John Redmond C.S.S.,28 Colonel Samuel Smith Park Dr,Toronto,M8V4B7,Toronto CDSB,731951,Yes, , 
Faywood Arts Based Curriculum School,95 Faywood Blvd,Toronto,M3H2X5,Toronto DSB,193518,Yes, , 
Fern Ave. PS,128 Fern Ave,Toronto,M6R1K3,Toronto DSB,195464,Yes,Yes, 
Finch Public School,277 Toronto Ave E,Toronto,..,Toronto DSB,196371,Yes, , 
First Nations PS,935 Dundas St E,Toronto,M4M1R4,Toronto DSB,589896,Yes,Yes,Yes
Fleming P.S.,20 Littles Rd,Toronto,M1B5B5,Toronto DSB,198781,Yes, , 
FNMI Pilot Project - @ Aboriginal Edu Centre,83 Alexander St,Toronto,M6H1K9,Toronto DSB,927708,Yes, , 
Francis Libermann Catholic H.S.,4640 Finch Ave E,Toronto,M1S4G2,Toronto CDSB,707708,Yes, , 
Frank Oke Secondary School,500 Alliance Ave,Toronto,M6N2H8,Toronto DSB,911070,Yes, , 
General Mercer Jr PS,30 Turnberry Ave,Toronto,M6N1P8,Toronto DSB,211451,Yes, , 
George Harvey C.I.,1700 Keele St,Toronto,M6M3W5,Toronto DSB,912174,Yes, , 
George P Mackie Junior Public School,60 Heathfield Dr,Toronto,M1M3B1,Toronto DSB,212750,Yes, , 
George Peck P.S.,1 Wayne Ave,Toronto,M1R1Y1,Toronto DSB,212881,Yes, , 
George R Gauld Junior School,200 Melrose St,Toronto,M8Y1B7,Toronto DSB,213144,Yes, , 
Givins/Shaw PS,49 Givins St,Toronto,M6J2X5,Toronto DSB,216003,Yes, , 
Gledhill Jr PS,2 Gledhill Ave,Toronto,M4C5K6,Toronto DSB,216780,Yes, , 
Golf Road Jr. P.S.,730 Scarborough Golf Club Rd,Toronto,M1G1H7,Toronto DSB,221597,Yes, , 
Greenwood S.S.,24 Mountjoy Ave,Toronto,M4J1J6,Toronto DSB,943940,Yes, , 
Grenoble PS,9 Grenoble Dr,Toronto,M3C1C3,Toronto DSB,230820,Yes, , 
Harbord C.I. ,286 Harbord St,Toronto,M6G1G5,Toronto DSB,915688,,Yes,Yes
Heydon Park Secondary School,70 D'Arcy St,Toronto,M5T1K1,Toronto DSB,916463,Yes,Yes,Yes
Highland Jr. High School,201 Cliffwood Rd,Toronto,M2H3B5,Toronto DSB,916552,Yes, , 
Hilltop M.S.,35 Trehorne Dr,Toronto,M9P1N8,Toronto DSB,259551,Yes, , 
Hollycrest Middle School,630 Renforth Dr,Toronto,M9C2N6,Toronto DSB,263010,Yes, , 
Holy Child C.S.,850 Humberwood Blvd,Toronto,M9W7A6,Toronto CDSB,704210,Yes, , 
Holy Cross C.S.,299A A Donlands Ave,Toronto,M4J3R7,Toronto CDSB,715239,Yes, , 
Holy Family C.S.,141 Close Ave,Toronto,M6K2V6,Toronto CDSB,716146,Yes, , 
Holy Name C.S.,690 Carlaw Ave,Toronto,M4K3K9,Toronto CDSB,717444,Yes, , 
Holy Redeemer C.S.,111 Aspenwood Dr,Toronto,M2H2G2,Toronto CDSB,718270,Yes, , 
Holy Rosary Catholic School,308 Tweedsmuir Ave,Toronto,M5P2Y1,Toronto CDSB,719528,Yes, , 
Holy Spirit CS,3530 Sheppard Ave E,Toronto,M1T3K7,Toronto CDSB,720178,Yes, , 
Humberside Collegiate Institute,280 Quebec Ave,Toronto,M6P2V3,Toronto DSB,917630,Yes, , 
Humberwood Downs Jr. M.A.,850 Humberwood Blvd,Toronto,M9W7A6,Toronto DSB,272280,Yes, , 
